NUM,DATE,SAMPLE,REPLICATE,ANIMAL,BATCH,SUB_1_RP,SUB_2_H,SUB_3_LS,SUB_4_LP,AI,PI,ALTO,FRAG_CRO,MOT_PRE,MOT_POS,CONC_CAMARA,VF,AD,VAP,VSL,VCL,ALH,BCF,STR,LIN,MOTILE_PCT,PROGRESSIVE_PCT,RAPID_PCT,MEDIUM_PCT,SLOW_PCT,STATIC_PCT,CLIV,BLAST_D8,CELLS_COUNT
1,16/07/2015,135,26,PANDIAH,1305,26.32,15.76,21.64,36.29,90.4,65.9,78.6,1.34,80,70,21,132,42,112.2,94.5,212.3,9,34.2,82,44,45,37,44,1,6,49,82.716,33.333,188.75
2,21/08/2015,180,33,PANDIAH,1305,26.32,15.76,21.64,36.29,93.1,70.5,79,0.005,75,75,63,425,335,123.7,103.7,218.5,9.4,29.8,82,48,74,60,70,4,9,17,79.012,16.049,.
3,28/08/2015,191,34,PANDIAH,1305,26.32,15.76,21.64,36.29,90.4,31.2,82.3,3.6,80,65,49,286,197,96.4,81.1,181.9,8.2,28.4,82,47,41,30,37,3,26,34,76.923,20.253,184.5
4,15/09/2015,205,36,PANDIAH,130503,26.32,15.76,21.64,36.29,94.9,79.1,76.7,0.013,75,75,58,366,281,55.5,48.8,84.8,6.5,29.9,90,69,50,15,18,31,37,13,77.027,27.027,.
5,01/10/2015,227,38,PANDIAH,130503,26.32,15.76,21.64,36.29,90.3,68.8,86.2,0,70,80,40,272,187,104.5,92.1,181.4,6.8,40.1,86,51,63,54,59,4,16,22,76.829,39.024,169.5
6,06/10/2015,233,39,PANDIAH,130503,26.32,15.76,21.64,36.29,94.6,77.2,89.1,0.11,70,75,31,198,113,97.1,80.5,175.7,8.5,26.6,82,47,59,47,54,5,14,27,66.154,25.806,184.889
7,08/10/2015,240,40,PANDIAH,130503,26.32,15.76,21.64,36.29,91.4,70.2,70.5,0.03,70,75,53,337,252,110.8,100.4,179.4,8.3,35.7,90,60,40,29,31,9,3,57,82.192,34.247,207
8,20/10/2015,248,41,PANDIAH,130503,26.32,15.76,21.64,36.29,88.3,56.3,73.2,0.077,60,80,37,248,163,112.4,97.5,192.8,8.7,31.7,85,51,43,32,36,7,20,37,67.606,23.611,263.5
9,29/10/2015,261,42,PANDIAH,130503,26.32,15.76,21.64,36.29,92.9,71.4,49,0.31,65,75,36,226,141,114,100.5,167.7,5.4,39.7,87,61,43,40,41,2,2,55,61.765,23.529,154.143
10,19/11/2015,269,43,PANDIAH,130503,26.32,15.76,21.64,36.29,93.2,73,69.9,0.2,65,70,28,166,81,105.5,98.3,162.8,5,41.3,92,64,36,32,34,2,8,56,81.69,35.211,.
