VAP,VSL,VCL,ALH,BCF,STR,LIN,BLAST_D8
112.2,94.5,212.3,9,34.2,82,44,33.333
123.7,103.7,218.5,9.4,29.8,82,48,16.049
96.4,81.1,181.9,8.2,28.4,82,47,20.253
55.5,48.8,84.8,6.5,29.9,90,69,27.027
104.5,92.1,181.4,6.8,40.1,86,51,39.024
97.1,80.5,175.7,8.5,26.6,82,47,25.806
110.8,100.4,179.4,8.3,35.7,90,60,34.247
112.4,97.5,192.8,8.7,31.7,85,51,23.611
114,100.5,167.7,5.4,39.7,87,61,23.529
105.5,98.3,162.8,5,41.3,92,64,35.211
125.9,111.6,216.1,8.7,33.5,87,52,34.328
83.7,58.6,169.5,11.9,23.6,69,36,24.59
121.6,103.2,223,10.3,31.9,82,46,27.692
97.7,90.2,143,4.1,40.6,90,64,24.638
118.3,107.6,194.5,7.2,34.5,91,60,38.028
103.7,94.9,161.2,6.5,34.4,91,65,48.529
116.8,106.9,184.2,7,30,90,58,28.814
89.9,79.9,149.7,5,41.8,88,59,37.097
82.9,73.4,151.1,6.9,29.1,88,51,31.25
85,66.6,179.8,7.5,34.1,78,38,18.182
80.3,59.5,160.3,7.9,29.4,74,40,20.833
99.1,87,162,5.2,44.2,87,55,12.121
103.4,80.2,207.6,9.7,27.8,75,39,14.035
109.3,82.6,228.2,10,31.5,75,38,1.493
142.7,132.6,197.9,5.9,40,92,69,15.942
102.6,88.9,190.2,7.9,34.2,84,46,9.859
111.4,102.4,166.2,5.5,40.8,91,65,19.048
99.4,91.1,183.9,6,45.4,91,51,1.515
88.7,85.4,121.8,4.2,40,95,70,19.048
79.5,63.2,155,7.6,26.5,78,41,34.247
108.3,93.9,183.4,7.1,36.3,85,54,31.944
83.3,70,168.3,7.6,34.5,83,44,43.662
74.9,64.7,123.5,5,32.4,84,53,29.851
78.7,56.1,139,6.4,30.9,72,43,26.866
80.3,61.7,161.5,8.1,28.6,77,40,30.263
82.9,71.7,151.1,7.7,30.7,85,50,18.571
94.1,84.9,160.3,5.7,41.8,88,54,27.143
77.8,62.1,150.5,7.5,23.7,76,41,25.397
100.3,83.2,169.3,7.3,32.7,78,48,26.866
102,87,180.4,8.1,31,83,49,30.986
83.7,72.1,157.8,6,39,86,48,45.714
103.7,86.9,183.5,7.9,31.6,84,51,40.58
98.5,83.5,168.5,8,25.3,84,51,12.698
135.5,121.4,209.6,8.4,33.9,87,56,29.63
106.7,84.4,217.9,10.6,31.2,76,38,10.112
99.9,85.5,182.3,7.5,36,83,47,9.783
106.4,98.2,144.5,5,33.8,90,67,25
88.9,68.6,187.9,7.9,31.7,77,38,14.063
87.6,75.8,168.4,7.2,38.3,86,46,42.045
82.7,65.6,165.9,7.5,36.2,77,40,23.077
90.9,69.8,189.9,8.1,32.1,78,40,14.667
96.3,86.1,163,7.3,31.1,89,59,44.286
84.1,67.3,153.2,6.4,34,78,45,6.41
81.2,68,142.5,6.9,30.6,84,57,5.556
67.5,58.8,113.8,5.5,33.2,86,56,7.042
110.9,97.8,191.9,8.1,35,87,54,9.211
110.4,94.1,174,6.8,34.6,82,54,7.407
98.5,62.8,207.1,8.8,28.6,65,33,18.056
74.5,58.9,138.6,6.4,28.5,78,46,11.842
87.8,69.3,161,7.1,28.9,79,45,9.459
104.5,89.5,192.3,8.5,33.4,84,49,22.222
